group_id,event_id,similar,description
1001619,270125217,1.0,allow dear stay alway duel platform world keep virtual cancel afterward instruct theme along chopin five comment puzzler tri total like mank violin construct time submit han see musician difficult last social safe major perform ca friend sharp thank f link dure view click well mani thing board aspect avail found due piano program inform edit final swan follow soprano project
10024282,268674061,0.34887,invest hire human would film tech like network time full profession interview mask environ social contract base idea event find look work expect without digit limit next field sponsor except come group seek partner must media attend
10024282,268233502,0.50977,tweet system twitter past relax learner learn expert take one world work lead driven meet workshop part ha join ani follow ski link tech favor given like name click time project greet present reed question event firm interest machin profession action connect contact develop main us area enjoy gift forum fun new well support tag mentor tank pro want even host network vision divers point met come answer hostess door shall builder feedback robot ask team digit chang fee
10024282,269686576,0.5,least given time success phone ask due go instruct platform career make virtual get merit entrepreneur detail connect inform owner wait ani passion bring leader season miss link tech sign standard cost chat video help network lift sure event meet offer profession meaning life accept share option keep date use confirm build cap creat fun new smaller well learn two comfort ban concern understand eastern login home also tablet attend question must room environment tip way
10024282,269126179,0.51619,code skill today learn follow descript world work web make new job base proven direct get class along ha year site power ticket develop behavior career cloud use like modern report walk perform question live pay read program bring market take prove want free confirm import transform predict path dure creat taught york student write instructor per avail current benefit understand popular data answer profession success also destroy group latest would train custom high drink must could real best sooner way
10024282,269253744,0.64889,date focus scale work new beta deck overlook build partnership greet late sit time round entrepreneur want pitch across invest led capitalist consult morgan best speaker group support start firm enjoy sure organ media network lead event close inform ha law passion investor sigma brown growth rais harvest panel york digit wise teacher divers stage big meet san built founder beyond outlier join senior attend entertain entrepreneurship via fund bank look school travel hi host agenda spent saa superhuman offer council reach wa yorker hone two yoga hearst make mat sport prior discuss share way skill address success retail previous scout talent get detail generalist tech major xi kappa angel million phi writer decad insight biggest alumni page bay q member login seed check touch real portfolio signal
10048962,bdmgfrybcfbfb,0.35355,pour ai de un tou rejoin
10048962,qhjjgrybcfbjb,0.6455,unit id rest de pour group es new matin ai tou habit york pay changer tout se r la fair
10048962,bdmgfrybcfbnb,0.35355,pour ai de un tou rejoin
10048962,qhjjgrybcfbrb,0.6455,unit id rest de pour group es new matin ai tou habit york pay changer tout se r la fair
